epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1298.63,0.13875,0.09536,0.7918,0.99846,0.99964,0.99499,0.99144,0.12291,0.0779,0.7757,1.23596e-05,1.23596e-05,1.23596e-05
41,1334.7,0.10464,0.07293,0.76516,0.99833,0.99965,0.99499,0.99115,0.12709,0.08018,0.77684,1.04537e-05,1.04537e-05,1.04537e-05
42,1366.58,0.10244,0.07167,0.76653,0.99882,1,0.995,0.99107,0.12444,0.07803,0.77661,8.70577e-06,8.70577e-06,8.70577e-06
43,1398.1,0.10103,0.07063,0.76555,0.99843,0.99988,0.99499,0.99111,0.12383,0.07771,0.77668,7.12282e-06,7.12282e-06,7.12282e-06
44,1429.61,0.10028,0.06991,0.76547,0.99914,0.99989,0.995,0.99119,0.12367,0.07739,0.7763,5.71106e-06,5.71106e-06,5.71106e-06
45,1461.14,0.09887,0.06887,0.76331,0.99883,0.99966,0.99499,0.99138,0.12253,0.07673,0.77566,4.47606e-06,4.47606e-06,4.47606e-06
46,1492.62,0.09804,0.06847,0.76426,0.99878,1,0.99499,0.99141,0.12145,0.07571,0.77538,3.4227e-06,3.4227e-06,3.4227e-06
47,1524.08,0.09804,0.06833,0.76542,0.99895,1,0.99499,0.99132,0.12061,0.07496,0.7755,2.55513e-06,2.55513e-06,2.55513e-06
48,1555.58,0.0965,0.06674,0.76338,0.99892,1,0.99499,0.99125,0.12167,0.07473,0.77581,1.87678e-06,1.87678e-06,1.87678e-06
49,1587.01,0.09613,0.06663,0.76196,0.99931,0.99996,0.99499,0.99131,0.11968,0.07362,0.7756,1.39032e-06,1.39032e-06,1.39032e-06
50,1618.59,0.0955,0.06612,0.76226,0.99885,0.99967,0.99499,0.99125,0.12007,0.07393,0.77576,1.09768e-06,1.09768e-06,1.09768e-06
